name,category,latitude,longitude,nearest_stop_name,dist_to_stop_m,dist_to_stop_miles,stop_prox_norm,access_score
H & H Interiors LLC,Interior Design Services,33.82763962,-84.37989339,PEACHTREE RD NW@RUMSON RD NE,653.0325469416961,0.4057766208145551,0.9999534735424456,0.9999534735424456
One Lion Studios LLC,Media Representatives,33.84675999,-84.36710898,BUCKHEAD STATION - NORTHBOUND,78.35774701001615,0.04868936769732695,0.9999944772090181,0.9999944772090181
Destingkt Designs LLC,Interior Design Services,33.77352399,-84.35693897,PONCE DE LEON AVE NE @ FREDERICA ST NE,105.93263147146143,0.06582364911793744,0.9999925097112814,0.9999925097112814
J's Cigars,Tobacco Stores ,33.81207098,-84.42631799,DEFOOR AVE NW @ COLLIER RD NW,52.58220439003287,0.03267314824091421,0.9999963163217744,0.9999963163217744
Essence of She Day Spa Salon,Beauty Salons ,33.75660428,-84.34950078,MORELAND AVE NE @ WADE ST NE,24.20380722522817,0.015039585932884396,0.9999983411510089,0.9999983411510089
Essence of She Day Spa Salon,Beauty Salons ,33.75660428,-84.34950078,MORELAND AVE NE @ WADE ST NE,24.20380722522817,0.015039585932884396,0.9999983411510089,0.9999983411510089
"Social Capital, LLC",Full-Service Restaurants ,33.75822208,-84.34790847,CAROLINE ST @ 1245,20.287818837315296,0.012606297511598107,0.9999986205610025,0.9999986205610025
Liz Cleaners,Drycleaning and Laundry Services (except Coin-Operated) ,33.79215692,-84.39558675,17TH ST NW @ DISTRICT AVE,100.67229593211033,0.0625550200281546,0.9999928850418937,0.9999928850418937
Eclectic Barbershop,Barber Shops ,33.77635392,-84.38441453,PEACHTREE ST @ 5TH ST,19.65538184352526,0.012213318406008214,0.9999986656860639,0.9999986656860639
Sean's Candler Park,All Other Specialty Food Stores ,33.76500878,-84.34186839,EDGEWOOD/CANDLER PARK STATION - NORTH LOOP,314.33060485807096,0.1953164681534486,0.9999776402911917,0.9999776402911917
Sean's Candler Park,All Other Specialty Food Stores ,33.76500878,-84.34186839,EDGEWOOD/CANDLER PARK STATION - NORTH LOOP,314.33060485807096,0.1953164681534486,0.9999776402911917,0.9999776402911917
Purple Majas,Beauty Salons ,33.75423468,-84.37704589,EDGEWOOD AVE @ HILLIARD ST,26.282217696316174,0.01633105353518596,0.9999981928541809,0.9999981928541809
Premier Comprehensive Services LLC,Offices of Mental Health Practitioners (except Physicians) ,33.75059086,-84.45047287,MARTIN L KING JR DR SW @ 2001,47.692984778084416,0.02963512047055589,0.9999966651728652,0.9999966651728652
SP Haircare,Beauty Salons ,33.80499595,-84.39408597,PEACHTREE RD NW @ PALISADES RD NE,34.75638770825919,0.021596671746342718,0.999997588213014,0.999997588213014
"Minty Living, LLC",Other Activities Related to Real Estate ,33.75714219,-84.35410748,INMAN PARK/REYNOLDSTOWN STATION - NORTH LOOP,91.56302959576158,0.056894770275865626,0.9999935349978681,0.9999935349978681
"Minty Living, LLC",Other Activities Related to Real Estate ,33.75714219,-84.35410748,INMAN PARK/REYNOLDSTOWN STATION - NORTH LOOP,91.56302959576158,0.056894770275865626,0.9999935349978681,0.9999935349978681
Afrik Brands,Clothing Accessories Stores ,33.76257593,-84.3916558,IVAN ALLEN JR BLVD NW @ LOVEJOY ST,276.2132408633577,0.17163137737417683,0.9999803600062097,0.9999803600062097
Luxor Fine Jewelry,Jewelry Stores ,33.87112355,-84.37933139,ROSWELL RD NE @ RICKENBACKER DR NE,184.88069290408492,0.11487982210352377,0.9999868766819787,0.9999868766819787
Camden Buckhead,Lessors of Residential Buildings and Dwellings ,33.84475994,-84.38015281,PEACHTREE RD @ BOLLING WAY NE,532.1912888471098,0.3306891575721164,0.9999620956964981,0.9999620956964981
Hardy's BP,Convenience Stores ,33.74077611,-84.41371588,LEE ST SW @ OAK ST SW,40.188867085524876,0.024972266323787937,0.9999972005997533,0.9999972005997533
DOME ATLANTA,Convention and Trade Show Organizers,33.75932052,-84.40413185,NORTHSIDE DR NW @ THURMOND ST NW,209.04366920485808,0.1298940368131396,0.9999851526275678,0.9999851526275678
DOME ATLANTA,Convention and Trade Show Organizers,33.75932052,-84.40413185,NORTHSIDE DR NW @ THURMOND ST NW,209.04366920485808,0.1298940368131396,0.9999851526275678,0.9999851526275678
Hollywood Nails - Stella,Nail Salons ,33.68291604,-84.50264737,GREENBRIAR PKWY SW @ 3480,79.3639236804477,0.049314578448586194,0.9999944054172278,0.9999944054172278
"Digital Trade Desk, LLC",Marketing Consulting Services ,33.86410605,-84.37940196,ROSWELL RD NE @ LAKEMOORE DR,143.93370399347586,0.08943647954656932,0.9999897982937853,0.9999897982937853
Motus Wealth,Investment Advice ,33.84672223,-84.3585964,LENOX STATION,152.06748266734667,0.09449058786045626,0.9999892179399074,0.9999892179399074
Highland Pet Supply,Pet and Pet Supplies Stores ,33.78719156,-84.35539626,N HIGHLAND AVE NE @ AMSTERDAM AVE,44.066467494695175,0.027381701501668496,0.9999969239287834,0.9999969239287834
Highland Pet Supply,Pet and Pet Supplies Stores ,33.78719156,-84.35539626,N HIGHLAND AVE NE @ AMSTERDAM AVE,44.066467494695175,0.027381701501668496,0.9999969239287834,0.9999969239287834
565 Hank by Windsor,Other Activities Related to Real Estate ,33.73851974,-84.38852868,HANK AARON DR @ RALPH D ABERNATHY BLVD,135.63046209541173,0.08427707140530387,0.999990390739047,0.999990390739047
"Omaj Autos, LLC",Used Car Dealers ,33.80003143,-84.41731901,DEFOOR AVE NW@SPRINGER ST NW,52.77521160702677,0.03279307766353087,0.9999963025505014,0.9999963025505014
